Date, Close, Volume, Open, High, Low
5/15/2019,$126.02 ,24722710,$124.26 ,$126.71 ,$123.70 
5/14/2019,$124.73 ,25266320,$123.87 ,$125.88 ,$123.70 
5/13/2019,$123.35 ,33944920,$124.11 ,$125.55 ,$123.04 
5/10/2019,$127.13 ,30915080,$124.91 ,$127.93 ,$123.82 
5/9/2019,$125.50 ,27235840,$124.29 ,$125.79 ,$123.57 
5/8/2019,$125.51 ,28419000,$125.44 ,$126.37 ,$124.75 
5/7/2019,$125.52 ,36017660,$126.46 ,$127.18 ,$124.22 
5/6/2019,$128.15 ,24239460,$126.39 ,$128.56 ,$126.11 
5/3/2019,$128.90 ,24911130,$127.36 ,$129.43 ,$127.25 
5/2/2019,$126.21 ,27350160,$127.98 ,$128 ,$125.52 
5/1/2019,$127.88 ,26821690,$130.53 ,$130.65 ,$127.70 
4/30/2019,$130.60 ,24041490,$129.81 ,$130.70 ,$129.39 
4/29/2019,$129.77 ,16179580,$129.90 ,$130.18 ,$129.35 
4/26/2019,$129.89 ,23306180,$129.70 ,$130.52 ,$129.02 
4/25/2019,$129.15 ,37927120,$130.06 ,$131.37 ,$128.83 
4/24/2019,$125.01 ,29919920,$125.79 ,$125.85 ,$124.52 
4/23/2019,$125.44 ,23539620,$124.10 ,$125.58 ,$123.83 
4/22/2019,$123.76 ,14825150,$122.62 ,$124 ,$122.57 
4/18/2019,$123.37 ,27651970,$122.19 ,$123.52 ,$121.30 
4/17/2019,$121.77 ,19012080,$121.24 ,$121.85 ,$120.54 
4/16/2019,$120.77 ,14054870,$121.64 ,$121.65 ,$120.10 
4/15/2019,$121.05 ,15526260,$120.94 ,$121.58 ,$120.57 
4/12/2019,$120.95 ,19719730,$120.64 ,$120.98 ,$120.37 
4/11/2019,$120.33 ,13758010,$120.54 ,$120.85 ,$119.92 
4/10/2019,$120.19 ,14540330,$119.76 ,$120.35 ,$119.54 
4/9/2019,$119.28 ,17275470,$118.63 ,$119.54 ,$118.58 
4/8/2019,$119.93 ,15113170,$119.81 ,$120.02 ,$118.64 
4/5/2019,$119.89 ,15737990,$119.39 ,$120.23 ,$119.37 
4/4/2019,$119.36 ,20090610,$120.10 ,$120.23 ,$118.38 
4/3/2019,$119.97 ,22354020,$119.86 ,$120.43 ,$119.15 
4/2/2019,$119.19 ,16413430,$119.06 ,$119.48 ,$118.52 
4/1/2019,$119.02 ,19885780,$118.95 ,$119.11 ,$118.10 
3/29/2019,$117.94 ,25375220,$118.07 ,$118.32 ,$116.96 
3/28/2019,$116.93 ,17527550,$117.44 ,$117.58 ,$116.13 
3/27/2019,$116.77 ,22669440,$117.88 ,$118.21 ,$115.52 
